origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,173.52,0
Algeria,13,204.92923076923077,0
Argentina,10,165.966,1
Australia,45,145.66511111111112,9
Austria,114,160.91640350877194,17
Azerbaijan,1,262.57,0
Bahamas,2,110.25,0
Bahrain,13,174.22923076923078,0
Bangladesh,4,198.96499999999997,0
Belarus,2,179.855,0
Belgium,33,200.45606060606062,2
Bolivia,2,210.58999999999997,0
Brazil,127,170.1973228346457,8
Brunei Darussalam,3,235.74,0
Bulgaria,10,172.091,2
Cambodia,2,99.91000000000001,1
Canada,439,154.83674259681095,72
Cape Verde,1,220.27,0
Chile,25,187.7708,2
China,124,199.77577235772355,11
Colombia,17,91.26235294117647,6
Croatia,8,178.615,0
Cyprus,2,260.21000000000004,0
Czech Republic,10,212.76100000000002,0
Denmark,13,152.76846153846154,1
Dominican Republic,1,142.4,0
Egypt,25,214.7536,3
El Salvador,1,40.28,0
Estonia,8,125.94,2
Ethiopia,9,228.67444444444442,0
Finland,38,159.32868421052632,5
France,146,183.33760273972604,3
Georgia,3,88.13666666666666,2
Germany,202,173.31658415841582,21
Greece,37,191.16,1
Guatemala,15,47.11866666666666,5
Hungary,56,187.7670909090909,5
Iceland,4,162.05,0
India,152,168.7359210526316,18
Indonesia,12,237.45166666666668,0
Iraq,1,116.19,0
Ireland,247,181.2136032388664,26
Islamic Republic of Iran,2,187.02499999999998,0
Israel,16,183.688125,1
Italy,13,170.67846153846156,1
Japan,37,209.7697297297297,2
Jordan,7,239.25857142857143,0
Kazakhstan,1,266.53,0
Kenya,1,263.77,0
Kingdom of the Netherlands,105,171.6338095238095,11
Kuwait,5,226.628,0
Lao People's Democratic Republic,1,284.66,0
Latvia,20,147.46949999999998,4
Lebanon,1,187.77,0
Lithuania,16,98.30125,8
Luxembourg,15,193.39600000000002,0
Malaysia,30,212.72333333333333,2
Malta,173,186.7149710982659,14
Mauritius,1,219.72,0
Mexico,115,186.0362608695652,6
Montenegro,1,168.58,0
Morocco,29,213.8296551724138,0
Nepal,2,245.91000000000003,0
New Zealand,28,158.6225,0
Nigeria,1,214.04,0
Norway,41,160.27609756097561,3
Oman,10,197.4,0
Pakistan,7,233.49428571428572,0
Panama,23,199.6391304347826,0
Philippines,8,145.46125,2
Poland,93,174.01290322580647,5
Portugal,50,166.1374,4
Qatar,63,233.59063492063493,1
Republic of Korea,61,227.66590163934424,3
Republic of Moldova,3,226.36333333333334,0
Romania,13,173.09923076923076,2
Russian Federation,32,180.39375,0
Rwanda,1,72.29,0
Saudi Arabia,24,207.24916666666664,1
Serbia,9,126.97333333333333,1
Singapore,39,233.08948717948718,2
Slovenia,3,142.77333333333334,0
South Africa,17,173.1864705882353,0
Spain,166,180.88993975903614,12
Sri Lanka,6,200.93999999999997,0
Sweden,70,169.42214285714286,7
Switzerland,62,137.805,17
Taiwan,41,216.83243902439023,0
Thailand,33,173.13363636363636,2
Tunisia,7,233.02714285714288,0
Turkey,188,195.60670212765956,8
Turkmenistan,1,236.68,0
Uganda,1,252.21,0
Ukraine,4,213.82,0
United Arab Emirates,131,197.586106870229,5
United Kingdom,325,176.61535384615385,34
United Republic of Tanzania,1,234.38,0
United States,6619,143.94302613687867,461
Uzbekistan,6,213.83166666666668,0
Venezuela,2,167.58499999999998,0
Viet Nam,30,233.712,1
Zambia,1,242.75,0
