icao24,origin_country,velocity,on_ground
39de4f,France,174.73,0
e49406,Brazil,236.89,0
4b1817,Switzerland,247.86,0
e8027c,Chile,226.33,0
4b1819,Switzerland,71.26,0
80162d,India,144.16,0
a57b26,United States,0.06,1
a5e50a,United States,70.98,0
aa56da,United States,241.34,0
a40bd5,United States,86.39,0
408124,United Kingdom,229.73,0
39de4d,France,239.6,0
39de4c,France,227.55,0
a53edd,United States,47.74,0
39de57,France,189.88,0
ade191,United States,167.56,0
a665b9,United States,183.6,0
ab6fdd,United States,221.99,0
a5953a,United States,52.81,0
a3b87f,United States,233.74,0
440da5,Austria,224.46,0
39de51,France,154.31,0
a678e5,United States,137.63,0
a305fd,United States,262.48,0
39de55,France,220.42,0
a33b4e,United States,76.76,0
acdfb5,United States,184.93,0
e49405,Brazil,234.57,0
4b1803,Switzerland,183.01,0
aa56d8,United States,247.82,0
a3a560,United States,57.98,0
4b1805,Switzerland,0.0,1
4b1806,Switzerland,121.53,0
a4d86a,United States,263.61,0
aa56d4,United States,173.34,0
4b1809,Switzerland,227.86,0
a09294,United States,55.03,0
aa56d5,United States,136.66,0
801647,India,120.52,0
801648,India,148.27,0
4b1801,Switzerland,4.63,1
408111,United Kingdom,151.48,0
acdfa6,United States,7.2,1
7c6b30,Australia,106.19,0
a33b52,United States,152.92,0
a3b88e,United States,214.05,0
4952ca,Portugal,226.41,0
aae316,United States,193.16,0
4952cb,Portugal,3.6,1
4952ce,Portugal,253.39,0
a36898,United States,150.3,0
a928ba,United States,192.51,0
7c6b35,Australia,114.67,0
acdfa3,United States,87.98,0
880444,Thailand,72.95,0
a10e8b,United States,194.11,0
a4c54a,United States,3.6,1
ad3c16,United States,225.56,0
801616,India,205.99,0
a1c5f3,United States,83.04,0
7c6b0e,Australia,160.84,0
a57b45,United States,91.47,0
aa9300,United States,4.37,1
a23563,United States,27.39,0
abacb6,United States,214.47,0
ac96be,United States,229.01,0
ae26b2,United States,31.96,0
aa69db,United States,59.16,0
a438f1,United States,177.88,0
abc6c1,United States,189.07,0
a21b44,United States,254.12,0
aaa6dd,United States,228.98,0
4b181b,Switzerland,208.49,0
a08b7c,United States,0.0,1
acdfae,United States,218.11,0
4952c9,Portugal,192.49,0
a46e40,United States,263.02,0
aa56b8,United States,188.82,0
a36870,United States,195.49,0
aaf665,United States,236.49,0
a1fb33,United States,292.13,0
ad4f2a,United States,1.8,1
a57b4d,United States,212.15,0
ad5623,United States,159.27,0
aa56b4,United States,248.99,0
ac231d,United States,89.89,0
a9f04b,United States,105.56,0
ad5628,United States,188.1,0
a1c5e0,United States,203.86,0
a0e250,United States,278.82,0
4952c7,Portugal,239.34,0
ac83aa,United States,222.0,0
a5de62,United States,84.04,0
a33b23,United States,87.35,0
acf9cf,United States,54.23,0
440db0,Austria,226.58,0
39de48,France,243.44,0
a808bf,United States,171.82,0
e48d07,Brazil,65.79,0
ac2f5a,United States,197.53,0
ae1faa,United States,13.46,0
51113f,Estonia,0.0,1
ad694c,United States,210.97,0
8a02cb,Indonesia,231.23,0
